scenario,algorithm,run,iteration,best_cost
S1,PSO,1,1,104.32320772333661
S1,PSO,1,2,104.32320772333661
S1,PSO,1,3,104.32320772333661
S1,PSO,1,4,104.02305778150202
S1,PSO,1,5,103.37411502689383
S1,PSO,1,6,103.29770777462294
S1,PSO,1,7,102.89446026498604
S1,PSO,1,8,102.89446026498604
S1,PSO,1,9,102.89446026498604
S1,PSO,1,10,102.89446026498604
S1,PSO,1,11,102.57150099434386
S1,PSO,1,12,102.29584788689148
S1,PSO,1,13,102.29584788689148
S1,PSO,1,14,102.23979378598233
S1,PSO,1,15,102.23979378598233
S1,PSO,1,16,102.23979378598233
S1,PSO,1,17,102.10046150876383
S1,PSO,1,18,102.10046150876383
S1,PSO,1,19,102.10046150876383
S1,PSO,1,20,101.7329022454672
S1,PSO,1,21,101.7329022454672
S1,PSO,1,22,101.7329022454672
S1,PSO,1,23,101.7329022454672
S1,PSO,1,24,101.7329022454672
S1,PSO,1,25,101.7329022454672
S1,PSO,1,26,101.72702005445313
S1,PSO,1,27,101.72702005445313
S1,PSO,1,28,101.72702005445313
S1,PSO,1,29,101.72702005445313
S1,PSO,1,30,101.72702005445313
S1,PSO,1,31,101.72702005445313
S1,PSO,1,32,101.72702005445313
S1,PSO,1,33,101.72702005445313
S1,PSO,1,34,101.72702005445313
S1,PSO,1,35,101.72702005445313
S1,PSO,1,36,101.72702005445313
S1,PSO,1,37,101.71556308747932
S1,PSO,1,38,101.7078380158668
S1,PSO,1,39,101.68432813915172
S1,PSO,1,40,101.68432813915172
S1,PSO,1,41,101.68432813915172
S1,PSO,1,42,101.68033791607031
S1,PSO,1,43,101.68033791607031
S1,PSO,1,44,101.68033791607031
S1,PSO,1,45,101.68033791607031
S1,PSO,1,46,101.68033791607031
S1,PSO,1,47,101.68033791607031
S1,PSO,1,48,101.68033791607031
S1,PSO,1,49,101.68033791607031
S1,PSO,1,50,101.67314991814824
S1,PSO,1,51,101.67314991814824
S1,PSO,1,52,101.67314991814824
S1,PSO,1,53,101.67294521054014
S1,PSO,1,54,101.67294521054014
S1,PSO,1,55,101.67294521054014
S1,PSO,1,56,101.67294521054014
S1,PSO,1,57,101.67294521054014
S1,PSO,1,58,101.67294521054014
S1,PSO,1,59,101.67189592450461
S1,PSO,1,60,101.67189592450461
S1,PSO,1,61,101.67189592450461
S1,PSO,1,62,101.67189592450461
S1,PSO,1,63,101.67189592450461
S1,PSO,1,64,101.67189592450461
S1,PSO,1,65,101.67189592450461
S1,PSO,1,66,101.67189592450461
S1,PSO,1,67,101.67136958624458
S1,PSO,1,68,101.67136958624458
S1,PSO,1,69,101.67136958624458
S1,PSO,1,70,101.67136958624458
S1,PSO,1,71,101.6710253719003
S1,PSO,1,72,101.6710253719003
S1,PSO,1,73,101.6710253719003
S1,PSO,1,74,101.6710253719003
S1,PSO,1,75,101.670881721737
S1,PSO,1,76,101.670881721737
S1,PSO,1,77,101.67087689835732
S1,PSO,1,78,101.67087689835732
S1,PSO,1,79,101.67078947803896
S1,PSO,1,80,101.67072688082989
S1,PSO,1,81,101.67072688082989
S1,PSO,1,82,101.67072688082989
S1,PSO,1,83,101.67072688082989
S1,PSO,1,84,101.67072688082989
S1,PSO,1,85,101.67069598190398
S1,PSO,1,86,101.67069598190398
S1,PSO,1,87,101.67069598190398
S1,PSO,1,88,101.67069598190398
S1,PSO,1,89,101.67069409870321
S1,PSO,1,90,101.67069409870321
S1,PSO,1,91,101.67067990634762
S1,PSO,1,92,101.67064193638234
S1,PSO,1,93,101.67064193638234
S1,PSO,1,94,101.67064193638234
S1,PSO,1,95,101.67064193638234
S1,PSO,1,96,101.67064193638234
S1,PSO,1,97,101.67064193638234
S1,PSO,1,98,101.67064193638234
S1,PSO,1,99,101.67063782602317
S1,PSO,1,100,101.67063782602317
S1,PSO,2,1,101.6125036719003
S1,PSO,2,2,100.53261706682329
S1,PSO,2,3,100.05001637562849
S1,PSO,2,4,99.57432776680928
S1,PSO,2,5,99.57432776680928
S1,PSO,2,6,99.17016328267661
S1,PSO,2,7,99.17016328267661
S1,PSO,2,8,99.17016328267661
S1,PSO,2,9,99.17016328267661
S1,PSO,2,10,99.17016328267661
S1,PSO,2,11,99.02876343556505
S1,PSO,2,12,98.23986564761505
S1,PSO,2,13,98.23986564761505
S1,PSO,2,14,98.23986564761505
S1,PSO,2,15,98.23986564761505
S1,PSO,2,16,98.13669937155937
S1,PSO,2,17,97.92328564881821
S1,PSO,2,18,97.92328564881821
S1,PSO,2,19,97.8440390495888
S1,PSO,2,20,97.8440390495888
S1,PSO,2,21,97.8440390495888
S1,PSO,2,22,97.8440390495888
S1,PSO,2,23,97.8440390495888
S1,PSO,2,24,97.8440390495888
S1,PSO,2,25,97.8440390495888
S1,PSO,2,26,97.8440390495888
S1,PSO,2,27,97.8440390495888
S1,PSO,2,28,97.8440390495888
S1,PSO,2,29,97.8440390495888
S1,PSO,2,30,97.8440390495888
S1,PSO,2,31,97.8440390495888
S1,PSO,2,32,97.81746722695561
S1,PSO,2,33,97.81746722695561
S1,PSO,2,34,97.81746722695561
S1,PSO,2,35,97.81746722695561
S1,PSO,2,36,97.81746722695561
S1,PSO,2,37,97.81614530167788
S1,PSO,2,38,97.81614530167788
S1,PSO,2,39,97.81614530167788
S1,PSO,2,40,97.81614530167788
S1,PSO,2,41,97.81614530167788
S1,PSO,2,42,97.81614530167788
S1,PSO,2,43,97.81614530167788
S1,PSO,2,44,97.81614530167788
S1,PSO,2,45,97.81332476414971
S1,PSO,2,46,97.81332476414971
S1,PSO,2,47,97.81332476414971
S1,PSO,2,48,97.81332476414971
S1,PSO,2,49,97.81332476414971
S1,PSO,2,50,97.81332476414971
S1,PSO,2,51,97.81332476414971
S1,PSO,2,52,97.81148341180518
S1,PSO,2,53,97.81148341180518
S1,PSO,2,54,97.81148341180518
S1,PSO,2,55,97.81148341180518
S1,PSO,2,56,97.81148341180518
S1,PSO,2,57,97.81148341180518
S1,PSO,2,58,97.81075455302044
S1,PSO,2,59,97.81075455302044
S1,PSO,2,60,97.81075455302044
S1,PSO,2,61,97.81075455302044
S1,PSO,2,62,97.81075455302044
S1,PSO,2,63,97.81075455302044
S1,PSO,2,64,97.81075455302044
S1,PSO,2,65,97.81075455302044
S1,PSO,2,66,97.81009843184388
S1,PSO,2,67,97.81009843184388
S1,PSO,2,68,97.81009843184388
S1,PSO,2,69,97.81009843184388
S1,PSO,2,70,97.81009843184388
S1,PSO,2,71,97.81009843184388
S1,PSO,2,72,97.81009843184388
S1,PSO,2,73,97.81009843184388
S1,PSO,2,74,97.81009843184388
S1,PSO,2,75,97.81009843184388
S1,PSO,2,76,97.81009843184388
S1,PSO,2,77,97.81009843184388
S1,PSO,2,78,97.81009843184388
S1,PSO,2,79,97.80996289102153
S1,PSO,2,80,97.80996289102153
S1,PSO,2,81,97.80996289102153
S1,PSO,2,82,97.80996289102153
S1,PSO,2,83,97.80993442513571
S1,PSO,2,84,97.80993442513571
S1,PSO,2,85,97.80993442513571
S1,PSO,2,86,97.80993442513571
S1,PSO,2,87,97.80988263556189
S1,PSO,2,88,97.80988263556189
S1,PSO,2,89,97.80986168974353
S1,PSO,2,90,97.80984844240955
S1,PSO,2,91,97.8098389044211
