scenario,algorithm,run,num_uavs,num_waypoints,best_cost,path_length,collision_count,collision_penetration,separation_violation,separation_deficit,smoothness,energy_proxy,success,execution_time
S1,PSO,17,1,1,97.80975946828259,96.16907124724472,0,0.0,0,0.0,0.8203441105189389,96.29212286382256,1,0.7358992099761963
S1,PSO,18,1,1,97.80977237988576,96.1690819796132,0,0.0,0,0.0,0.8203452001362838,96.29213375963364,1,1.1718671321868896
S1,PSO,19,1,1,97.8097751312946,96.16908376264723,0,0.0,0,0.0,0.8203456843236822,96.29213561529579,1,0.9903380870819092
S1,PSO,20,1,1,97.80976201188525,96.16907372649862,0,0.0,0,0.0,0.8203441426933186,96.29212534790263,1,0.7405757904052734
S1,PSO,21,1,1,97.81009280507504,96.16933956388927,0,0.0,0,0.0,0.820376620592892,96.2923960569782,1,0.7085545063018799
S1,PSO,22,1,1,97.80979616908651,96.16910071528082,0,0.0,0,0.0,0.8203477269028473,96.29215287431624,1,0.7321991920471191
S1,PSO,23,1,1,101.67065651333434,99.72827427786959,0,0.0,0,0.0,0.9711911177323761,99.87395294552944,1,0.7398052215576172
S1,PSO,24,1,1,97.80983133596355,96.16913292062276,0,0.0,0,0.0,0.8203492076703992,96.29218530177332,1,0.7437560558319092
S1,PSO,25,1,1,101.67063139787996,99.72825212330963,0,0.0,0,0.0,0.9711896372851676,99.87393056890241,1,0.7174005508422852
S1,PSO,26,1,1,97.80984308830512,96.1691464116794,0,0.0,0,0.0,0.8203483383128534,96.29219866242633,1,0.8396725654602051
S1,PSO,27,1,1,97.80976177280085,96.16907375871816,0,0.0,0,0.0,0.8203440070413469,96.29212535977436,1,1.2279071807861328
S1,PSO,28,1,1,97.8097613650351,96.16907342605238,0,0.0,0,0.0,0.820343969491361,96.29212502147608,1,1.2532844543457031
S1,PSO,29,1,1,97.80977275270732,96.16908194353488,0,0.0,0,0.0,0.8203454045862196,96.2921337542228,1,0.7389044761657715
S1,PSO,30,1,1,97.8097958857498,96.16910391470572,0,0.0,0,0.0,0.8203459855220444,96.29215581253402,1,0.7290620803833008
S1,ABC,1,1,1,98.2376817279975,96.5405128222851,0,0.0,0,0.0,0.8485844528562041,96.66780049021352,1,1.6835007667541504
S1,ABC,2,1,1,98.97334356621313,97.12489718575628,0,0.0,0,0.0,0.9242231902284263,97.26353066429054,1,1.681241512298584
S1,ABC,3,1,1,98.84393473411183,97.06037342689362,0,0.0,0,0.0,0.8917806536091004,97.19414052493498,1,1.6844215393066406
S1,ABC,4,1,1,98.7360463799615,96.96162757248095,0,0.0,0,0.0,0.8872094037402726,97.094708983042,1,1.676215410232544
S1,ABC,5,1,1,98.69787016013423,96.93418648183678,0,0.0,0,0.0,0.8818418391487266,97.06646275770909,1,1.7006821632385254
S1,ABC,6,1,1,99.04417967039745,97.17591626600331,0,0.0,0,0.0,0.9341317021970732,97.31603602133288,1,2.8608527183532715
S1,ABC,7,1,1,98.18483303828536,96.50551243672982,0,0.0,0,0.0,0.8396603007777728,96.63146148184649,1,1.6749470233917236
S1,ABC,8,1,1,98.10988277405467,96.41135504580166,0,0.0,0,0.0,0.8492638641265053,96.53874462542063,1,1.677497386932373
S1,ABC,9,1,1,98.44608698365015,96.73784881396615,0,0.0,0,0.0,0.8541190848419965,96.86596667669245,1,1.671820878982544
S1,ABC,10,1,1,98.00000401107974,96.32982036113339,0,0.0,0,0.0,0.8350918249731784,96.45508413487936,1,1.686553955078125
S1,ABC,11,1,1,98.13161989631682,96.43275485574677,0,0.0,0,0.0,0.8494325202850274,96.56016973378952,1,1.6873588562011719
S1,ABC,12,1,1,98.40018514614965,96.69410079311768,0,0.0,0,0.0,0.8530421765159866,96.82205711959509,1,1.8050618171691895
S1,ABC,13,1,1,98.839292127345,97.01342216657187,0,0.0,0,0.0,0.9129349803865658,97.15036241362985,1,2.700615882873535
S1,ABC,14,1,1,98.29144691068026,96.56531704635924,0,0.0,0,0.0,0.8630649321605094,96.69477678618331,1,1.67795991897583
S1,ABC,15,1,1,98.2485866421801,96.54033524199781,0,0.0,0,0.0,0.8541257000911477,96.66845409701148,1,1.677260398864746
S1,ABC,16,1,1,98.7715961648844,96.97511570785814,0,0.0,0,0.0,0.8982402285131287,97.1098517421351,1,1.7007856369018555
S1,ABC,17,1,1,98.67158660291211,96.91341760836906,0,0.0,0,0.0,0.8790844972715306,97.0452802829598,1,1.677459716796875
S1,ABC,18,1,1,98.48406780566182,96.77294983722172,0,0.0,0,0.0,0.8555589842200553,96.90128368485472,1,1.7007708549499512
S1,ABC,19,1,1,98.0193025639129,96.35736488912843,0,0.0,0,0.0,0.8309688373922326,96.48201021473727,1,1.9737205505371094
S1,ABC,20,1,1,99.56410611679478,97.61420679714828,0,0.0,0,0.0,0.9749496598232477,97.76044924612177,1,2.5164637565612793
S1,ABC,21,1,1,98.45802973607687,96.72721134775827,0,0.0,0,0.0,0.8654091941592948,96.85702272688216,1,1.6868395805358887
S1,ABC,22,1,1,98.47471160433652,96.74611841999767,0,0.0,0,0.0,0.8642965921694239,96.87576290882309,1,1.692363977432251
S1,ABC,23,1,1,98.16444777186281,96.46733387913136,0,0.0,0,0.0,0.8485569463657269,96.59461742108621,1,1.6859471797943115
S1,ABC,24,1,1,99.87901142864685,97.94363493300868,0,0.0,0,0.0,0.9676882478190816,98.08878817018154,1,1.692260980606079
S1,ABC,25,1,1,99.6420300997612,97.7740118694019,0,0.0,0,0.0,0.9340091151796467,97.91411323667884,1,1.658750057220459
S1,ABC,26,1,1,99.10375482264998,97.3000359553969,0,0.0,0,0.0,0.9018594336265418,97.43531487044088,1,2.128872871398926
S1,ABC,27,1,1,99.74577995825325,97.81392178527274,0,0.0,0,0.0,0.9659290864902527,97.95881114824628,1,2.3840320110321045
S1,ABC,28,1,1,98.35512267908507,96.64133963773378,0,0.0,0,0.0,0.8568915206756458,96.76987336583512,1,1.686673641204834
S1,ABC,29,1,1,98.30116491275433,96.60210243215947,0,0.0,0,0.0,0.8495312402974294,96.72953211820409,1,1.6853203773498535
S1,ABC,30,1,1,98.3300532683394,96.62559905162877,0,0.0,0,0.0,0.8522271083553125,96.75343311788207,1,1.6649494171142578
S2,PSO,1,1,3,115.8703799168341,110.25515476954317,0,0.0,0,0.0,2.8076125736454625,110.67629665559,1,1.4262051582336426
S2,PSO,2,1,3,99.58531339095305,98.82117620384581,0,0.0,0,0.0,0.38206859355362205,98.87848649287885,1,1.830106258392334
S2,PSO,3,1,3,99.72502632785812,98.82018072830331,0,0.0,0,0.0,0.4524227997774024,98.88804414826993,1,1.8299634456634521
S2,PSO,4,1,3,99.73540290390599,98.8076451286037,0,0.0,0,0.0,0.4638788876511508,98.87722696175136,1,2.157726287841797
S2,PSO,5,1,3,99.77645937615104,98.81503670223212,0,0.0,0,0.0,0.48071133695945956,98.88714340277603,1,1.4126567840576172
S2,PSO,6,1,3,99.86927580818423,98.85577512923524,0,0.0,0,0.0,0.5067503394744961,98.93178768015642,1,1.4123737812042236
S2,PSO,7,1,3,99.82183908631251,98.84476700153672,0,0.0,0,0.0,0.4885360423878888,98.9180474078949,1,1.44688081741333
S2,PSO,8,1,3,96.4400559652967,95.60079790818686,0,0.0,0,0.0,0.4196290285549146,95.6637422624701,1,1.4003677368164062
S2,PSO,9,1,3,99.75225907983447,98.81405897784484,0,0.0,0,0.0,0.4691000509948164,98.88442398549407,1,1.4175240993499756
S2,PSO,10,1,3,117.21767608884676,110.76468403320389,0,0.0,0,0.0,3.2264960278214327,111.2486584373771,1,1.4218883514404297
S2,PSO,11,1,3,99.34404094180076,98.6762434417708,0,0.0,0,0.0,0.33389875001498476,98.72632825427304,1,1.8235971927642822
S2,PSO,12,1,3,100.23694427066235,99.23443409299416,0,0.0,0,0.0,0.5012550888340909,99.30962235631928,1,2.1666460037231445
S2,PSO,13,1,3,99.79416529955488,98.82618703550476,0,0.0,0,0.0,0.48398913202505683,98.89878540530852,1,1.4124724864959717
S2,PSO,14,1,3,99.41780053472579,98.73795088580977,0,0.0,0,0.0,0.33992482445800787,98.78893960947846,1,1.4061572551727295
S2,PSO,15,1,3,99.71191021607673,98.85000467633802,0,0.0,0,0.0,0.4309527698693587,98.91464759181842,1,1.4199864864349365
S2,PSO,16,1,3,117.11406258411746,111.06185068014909,0,0.0,0,0.0,3.0261059519841833,111.51576657294672,1,1.4361708164215088
S2,PSO,17,1,3,97.07632038934827,95.94462301152937,0,0.0,0,0.0,0.5658486889094484,96.02950031486579,1,1.4242756366729736
S2,PSO,18,1,3,99.91363516604548,98.9996237087314,0,0.0,0,0.0,0.4570057286570407,99.06817456802996,1,1.4265758991241455
S2,PSO,19,1,3,99.83629447332176,99.07392351483522,0,0.0,0,0.0,0.3811854792432744,99.13110133672171,1,1.7794792652130127
S2,PSO,20,1,3,99.74483135615915,98.83505043571759,0,0.0,0,0.0,0.4548904602207821,98.9032840047507,1,2.2321574687957764
S2,PSO,21,1,3,117.21462095356632,112.00518633842105,0,0.0,0,0.0,2.6047173075726326,112.39589393455695,1,1.403243064880371
S2,PSO,22,1,3,99.76340760321925,98.82463415346751,0,0.0,0,0.0,0.4693867248758665,98.89504216219889,1,1.4108800888061523
S2,PSO,23,1,3,99.73674158876501,98.83713429768947,0,0.0,0,0.0,0.44980364553776975,98.90460484452014,1,1.4192311763763428
S2,PSO,24,1,3,101.30822195191469,99.61652792983782,0,0.0,0,0.0,0.8458470110384403,99.74340498149358,1,1.4110238552093506
S2,PSO,25,1,3,99.80412117238328,98.82432016522009,0,0.0,0,0.0,0.4899005035815982,98.89780524075732,1,1.4170997142791748
S2,PSO,26,1,3,100.05738492065537,99.18618023636898,0,0.0,0,0.0,0.43560234214319105,99.25152058769046,1,1.4056992530822754
S2,PSO,27,1,3,97.37355766440143,96.03740028510006,0,0.0,0,0.0,0.6680786896506867,96.13761208854767,1,1.7142271995544434
S2,PSO,28,1,3,99.85747448843418,98.87077642153703,0,0.0,0,0.0,0.49334903344857095,98.94477877655432,1,2.28074312210083
S2,PSO,29,1,3,99.77300523656749,98.83276145377843,0,0.0,0,0.0,0.4701218913945278,98.90327973748761,1,1.425652027130127
S2,PSO,30,1,3,136.0380669032101,133.24971569138972,0,0.0,0,0.0,1.3941756059101862,133.45884203227627,1,1.3927390575408936
S2,ABC,1,1,3,102.97957227947872,101.23137421389616,0,0.0,0,0.0,0.874099032791275,101.36248906881485,1,3.1167492866516113
