scenario,algorithm,num_uavs,num_waypoints,mean_cost,std_cost,best_cost,worst_cost,mean_path_length,mean_collision_count,mean_separation_violation,mean_smoothness,mean_energy_proxy,success_rate,mean_execution_time
S1,ABC,1,1,98.63832531014965,0.5217246853589196,98.00000401107974,99.87901142864685,96.87674482226319,0.0,0.0,0.8807902439432348,97.00886335885467,100.0,1.8360400279362996
S1,PSO,1,1,98.96827363930252,1.7993670836191662,97.80975403435663,101.67068781221899,97.23703999366165,0.0,0.0,0.8656168228204364,97.36688251708473,100.0,0.9897825717926025
S2,ABC,1,3,103.83592362402939,1.0712018352484036,102.1756392992791,105.94106946606095,102.05299222312041,0.0,0.0,0.8914657004544906,102.18671207818858,100.0,3.427774993578593
S2,PSO,1,3,103.03034318863689,8.694829855461101,96.4400559652967,136.0380669032101,101.3641268346242,0.0,0.0,0.8331081770063448,101.48909306117515,100.0,1.5854583263397217
S3,ABC,3,1,371.42627936180685,6.192159220638507,356.73092681173614,385.3967569337593,363.15810936422264,0.0,0.0,4.134084998792066,363.77822211404145,100.0,18.5048725605011
S3,PSO,3,1,358.3866476448776,22.271301566150257,334.7477521805656,407.79828583638755,351.86400111285144,0.0,0.0,3.2613232660131035,352.35319960275336,100.0,8.921875230471294
S4,ABC,3,3,474.9483992618071,21.421375376898474,435.63714052493043,520.3688734806556,451.02573224190144,0.0,0.0,11.96133350995283,452.8199322683943,100.0,23.309258063634235
S4,PSO,3,3,2163.76354686727,8956.894096009348,355.2831239409445,49583.214692476955,512.6467375961919,0.03333333333333333,0.0,10.162673233198795,514.1711385811717,96.66666666666667,11.204964311917623
S5,ABC,5,3,4978.671764774929,2472.661178307644,934.3020963652951,10822.608076546148,998.7362770505314,0.0,2.966666666666667,56.15718075697466,1007.1598541640775,10.0,45.36954394976298
S5,PSO,5,3,10930.524126855955,19951.483683624825,872.2850342214759,79925.75855481176,1149.1024426835204,0.23333333333333334,0.9333333333333333,52.24953900499984,1156.9398735342702,33.33333333333333,22.121653350194297
